disease,symptoms,precautions
Fungal infection,"itching,skin_rash,nodal_skin_eruptions,dischromic__patches","bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths"
Fungal infection,"skin_rash,nodal_skin_eruptions,dischromic__patches","bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths"
Fungal infection,"itching,nodal_skin_eruptions,dischromic__patches","bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths"
Fungal infection,"itching,skin_rash,dischromic__patches","bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths"
Fungal infection,"itching,skin_rash,nodal_skin_eruptions","bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths"
Fungal infection,"skin_rash,nodal_skin_eruptions,dischromic__patches","bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths"
Fungal infection,"itching,nodal_skin_eruptions,dischromic__patches","bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths"
Fungal infection,"itching,skin_rash,dischromic__patches","bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths"
Fungal infection,"itching,skin_rash,nodal_skin_eruptions","bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths"
Fungal infection,"itching,skin_rash,nodal_skin_eruptions,dischromic__patches","bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths"
Allergy,"continuous_sneezing,shivering,chills,watering_from_eyes",
Allergy,"shivering,chills,watering_from_eyes",
Allergy,"continuous_sneezing,chills,watering_from_eyes",
Allergy,"continuous_sneezing,shivering,watering_from_eyes",
Allergy,"continuous_sneezing,shivering,chills",
Allergy,"shivering,chills,watering_from_eyes",
Allergy,"continuous_sneezing,chills,watering_from_eyes",
Allergy,"continuous_sneezing,shivering,watering_from_eyes",
Allergy,"continuous_sneezing,shivering,chills",
Allergy,"continuous_sneezing,shivering,chills,watering_from_eyes",
GERD,"stomach_pain,acidity,ulcers_on_tongue,vomiting,cough,chest_pain","avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise"
GERD,"stomach_pain,ulcers_on_tongue,vomiting,cough,chest_pain","avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise"
GERD,"stomach_pain,acidity,vomiting,cough,chest_pain","avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise"
GERD,"stomach_pain,acidity,ulcers_on_tongue,cough,chest_pain","avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise"
GERD,"stomach_pain,acidity,ulcers_on_tongue,vomiting,chest_pain","avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise"
GERD,"stomach_pain,acidity,ulcers_on_tongue,vomiting,cough","avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise"
GERD,"acidity,ulcers_on_tongue,vomiting,cough,chest_pain","avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise"
GERD,"stomach_pain,ulcers_on_tongue,vomiting,cough,chest_pain","avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise"
GERD,"stomach_pain,acidity,vomiting,cough,chest_pain","avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise"
GERD,"stomach_pain,acidity,ulcers_on_tongue,cough,chest_pain","avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise"
Chronic cholestasis,"itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes","cold baths, anti itch medicine, consult doctor, eat healthy"
Chronic cholestasis,"vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes","cold baths, anti itch medicine, consult doctor, eat healthy"
Chronic cholestasis,"itching,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes","cold baths, anti itch medicine, consult doctor, eat healthy"
Chronic cholestasis,"itching,vomiting,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes","cold baths, anti itch medicine, consult doctor, eat healthy"
Chronic cholestasis,"itching,vomiting,yellowish_skin,loss_of_appetite,abdominal_pain,yellowing_of_eyes","cold baths, anti itch medicine, consult doctor, eat healthy"
Chronic cholestasis,"itching,vomiting,yellowish_skin,nausea,abdominal_pain,yellowing_of_eyes","cold baths, anti itch medicine, consult doctor, eat healthy"
Chronic cholestasis,"itching,vomiting,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes","cold baths, anti itch medicine, consult doctor, eat healthy"
Chronic cholestasis,"itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain","cold baths, anti itch medicine, consult doctor, eat healthy"
Chronic cholestasis,"itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes","cold baths, anti itch medicine, consult doctor, eat healthy"
Chronic cholestasis,"itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes","cold baths, anti itch medicine, consult doctor, eat healthy"
Drug Reaction,"itching,skin_rash,stomach_pain,burning_micturition,spotting__urination",
Drug Reaction,"itching,stomach_pain,burning_micturition,spotting__urination",
Drug Reaction,"itching,skin_rash,burning_micturition,spotting__urination",
Drug Reaction,"itching,skin_rash,stomach_pain,spotting__urination",
Drug Reaction,"itching,skin_rash,stomach_pain,burning_micturition",
Drug Reaction,"skin_rash,stomach_pain,burning_micturition,spotting__urination",
Drug Reaction,"itching,stomach_pain,burning_micturition,spotting__urination",
Drug Reaction,"itching,skin_rash,burning_micturition,spotting__urination",
Drug Reaction,"itching,skin_rash,stomach_pain,spotting__urination",
Drug Reaction,"itching,skin_rash,stomach_pain,burning_micturition",
Peptic ulcer diseae,"vomiting,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching","avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol"
Peptic ulcer diseae,"vomiting,indigestion,abdominal_pain,passage_of_gases,internal_itching","avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol"
Peptic ulcer diseae,"indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching","avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol"
Peptic ulcer diseae,"vomiting,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching","avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol"
Peptic ulcer diseae,"vomiting,indigestion,abdominal_pain,passage_of_gases,internal_itching","avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol"
Peptic ulcer diseae,"vomiting,indigestion,loss_of_appetite,passage_of_gases,internal_itching","avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol"
Peptic ulcer diseae,"vomiting,indigestion,loss_of_appetite,abdominal_pain,internal_itching","avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol"
Peptic ulcer diseae,"vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases","avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol"
Peptic ulcer diseae,"vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching","avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol"
Peptic ulcer diseae,"vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching","avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol"
AIDS,"muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts","avoid open cuts, wear ppe if possible, consult doctor, follow up"
AIDS,"patches_in_throat,high_fever,extra_marital_contacts","avoid open cuts, wear ppe if possible, consult doctor, follow up"
AIDS,"muscle_wasting,high_fever,extra_marital_contacts","avoid open cuts, wear ppe if possible, consult doctor, follow up"
AIDS,"muscle_wasting,patches_in_throat,extra_marital_contacts","avoid open cuts, wear ppe if possible, consult doctor, follow up"
AIDS,"muscle_wasting,patches_in_throat,high_fever","avoid open cuts, wear ppe if possible, consult doctor, follow up"
AIDS,"muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts","avoid open cuts, wear ppe if possible, consult doctor, follow up"
AIDS,"muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts","avoid open cuts, wear ppe if possible, consult doctor, follow up"
AIDS,"patches_in_throat,high_fever,extra_marital_contacts","avoid open cuts, wear ppe if possible, consult doctor, follow up"
AIDS,"muscle_wasting,high_fever,extra_marital_contacts","avoid open cuts, wear ppe if possible, consult doctor, follow up"
AIDS,"muscle_wasting,patches_in_throat,high_fever","avoid open cuts, wear ppe if possible, consult doctor, follow up"
Diabetes ,"fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria","have balanced diet, exercise, consult doctor, follow up"
Diabetes ,"fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria","have balanced diet, exercise, consult doctor, follow up"
Diabetes ,"weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria","have balanced diet, exercise, consult doctor, follow up"
Diabetes ,"fatigue,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria","have balanced diet, exercise, consult doctor, follow up"
Diabetes ,"fatigue,weight_loss,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria","have balanced diet, exercise, consult doctor, follow up"
Diabetes ,"fatigue,weight_loss,restlessness,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria","have balanced diet, exercise, consult doctor, follow up"
Diabetes ,"fatigue,weight_loss,restlessness,lethargy,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria","have balanced diet, exercise, consult doctor, follow up"
